isin,requested_exchCode,figi,name,ticker,exchCode,compositeFIGI,shareClassFIGI,securityType,securityType2,marketSector,securityDescription,warning,yahoo_ticker
INE042A01014,IN,BBG000CR0K83,ESCORTS KUBOTA LTD,ESCORTS,IN,BBG000CR0K83,BBG001S838H0,Common Stock,Common Stock,Equity,ESCORTS,,ESCORTS.NS
INE669C01036,IN,BBG000CXKNH2,TECH MAHINDRA LTD,TECHM,IN,BBG000CXKNH2,BBG001SGT6M2,Common Stock,Common Stock,Equity,TECHM,,TECHM.NS
INE089A01023,IN,,,,,,,,,,,No identifier found.,
INE000A00000,IN,,,,,,,,,,,,
INE437A01024,IN,BBG000CNBS38,APOLLO HOSPITALS ENTERPRISE,APHS,IN,BBG000CNBS38,BBG001S82SG8,Common Stock,Common Stock,Equity,APHS,,APHS.NS
INE148O01028,IN,BBG00736JCG3,DELHIVERY LTD,DELHIVER,IN,BBG00736JCG3,BBG00736JCH2,Common Stock,Common Stock,Equity,DELHIVER,,DELHIVER.NS
INE323A01026,IN,BBG000CWNQ02,BOSCH LTD,BOS,IN,BBG000CWNQ02,BBG001S843M4,Common Stock,Common Stock,Equity,BOS,,BOS.NS
INE811K01011,IN,BBG000PYM976,PRESTIGE ESTATES PROJECTS,PEPL,IN,BBG000PYM976,BBG001T64JF0,Common Stock,Common Stock,Equity,PEPL,,PEPL.NS
INE299U01018,IN,BBG007FHMK92,CROMPTON GREAVES CONSUMER EL,CROMPTON,IN,BBG007FHMK92,BBG007FHMKB9,Common Stock,Common Stock,Equity,CROMPTON,,CROMPTON.NS
INE0N7W01012,IN,BBG011Y3TCZ6,BEML LAND ASSETS LTD,BLAL,IN,BBG011Y3TCZ6,BBG011Y3TD02,Common Stock,Common Stock,Equity,BLAL,,BLAL.NS
INE758E01017,IN,BBG002WN2L82,JIO FINANCIAL SERVICES LTD,JIOFIN,IN,BBG002WN2L82,BBG002WN2LB8,Common Stock,Common Stock,Equity,JIOFIN,,JIOFIN.NS
INE591G01017,IN,,,,,,,,,,,No identifier found.,
INE066F01020,IN,BBG000FT6SB9,HINDUSTAN AERONAUTICS LTD,HNAL,IN,BBG000FT6SB9,BBG001SLZ4F7,Common Stock,Common Stock,Equity,HNAL,,HNAL.NS
